FBGN	name	chr	start	end	TSS	strand	TPM	biotype....rnaseq.biotype	LAM	HP1	PC	TPM.cut
FBgn0263597	Acp98AB	chr3R	23520605	23520773	23520605	1	39.38856	protein_coding	1	0	0	high
FBgn0263120	Acsl	chr2R	4563798	4570296	4563798	1	68.612445	protein_coding	0	0	0	high
FBgn0000046	Act87E	chr3R	9252169	9253811	9252169	1	1.405745	protein_coding	1	1	0	weak
FBgn0000667	Actn	chrX	1919149	1930499	1930499	-1	40.122645	protein_coding	1	1	0	high
FBgn0037661	Ada	chr3R	4890905	4892025	4890905	1	20.36949	protein_coding	0	0	0	mid
FBgn0051866	Ada1-2	chr2L	11992906	11994054	11992906	1	9.544655	protein_coding	0	0	0	mid
FBgn0263738	Ada2a	chr3R	14078677	14081191	14081191	-1	3.509985	protein_coding	0	0	0	weak
FBgn0026086	Adar	chrX	1668560	1678034	1668560	1	58.903405	protein_coding	0	0	0	high
FBgn0036752	Adgf-A	chr3L	17744831	17757258	17757258	-1	6.238	protein_coding	1	1	0	weak
FBgn0036751	Adgf-B	chr3L	17741933	17743688	17743688	-1	16.747735	protein_coding	1	1	0	mid
FBgn0038173	Adgf-C	chr3R	9532479	9534851	9532479	1	4.381925	protein_coding	1	1	0	weak
FBgn0033952	Adgf-E	chr2R	10544303	10546260	10546260	-1	2.16954	protein_coding	1	0	0	weak
FBgn0022709	Adk1	chr3L	12193494	12197035	12197035	-1	93.873175	protein_coding	0	0	0	high
FBgn0026602	Ady43A	chr2R	3130529	3133263	3133263	-1	10.55089	protein_coding	1	0	0	mid
FBgn0038223	Afti	chr3R	10147101	10152427	10152427	-1	51.516185	protein_coding	0	0	0	high
FBgn0020508	Ag5r2	chrX	14676985	14678085	14678085	-1	5.21937	protein_coding	1	1	0	weak
FBgn0004552	Akh	chr3L	4141467	4142070	4141467	1	2216.140675	protein_coding	1	0	0	high
FBgn0036789	AlCR2	chr3L	18479602	18495657	18495657	-1	28.393835	protein_coding	0	0	0	mid
FBgn0261238	Alh	chr3R	2923411	2934139	2934139	-1	99.51499	protein_coding	0	0	0	high
FBgn0040505	Alk	chr2R	12513607	12525480	12525480	-1	197.339835	protein_coding	0	1	0	high
FBgn0031068	Alr	chrX	19642956	19644204	19642956	1	2.551855	protein_coding	0	0	0	weak
FBgn0028961	AlstR	chrX	3468569	3560757	3468569	1	42.047395	protein_coding	0	0	0	high
FBgn0020506	Amyrel	chr2R	12538600	12540204	12540204	-1	2.909195	protein_coding	1	1	0	weak
FBgn0033366	Ance-4	chr2R	4927225	4929647	4929647	-1	40.27747	protein_coding	1	1	0	high
FBgn0030898	Andorra	chrX	18072559	18073505	18073505	-1	3.471865	protein_coding	1	0	0	weak
FBgn0261788	Ank2	chr3L	7702020	7706747	7706747	-1	235.88934	protein_coding	0	0	0	high
FBgn0025111	Ant2	chrX	10672987	10674694	10674694	-1	48.598225	protein_coding	0	0	0	high
FBgn0260642	Antp	chr3R	2732740	2758562	2758562	-1	64.775025	protein_coding	1	0	1	high
FBgn0029879	Apc7	chrX	6491216	6493732	6491216	1	4.760245	protein_coding	0	1	0	weak
FBgn0016123	Aph-4	chr3R	26875531	26878268	26875531	1	20.06073	protein_coding	1	1	0	mid
FBgn0040281	Aplip1	chr3L	1196321	1199339	1196321	1	167.660655	protein_coding	1	0	0	high
FBgn0000108	Appl	chrX	425203	473077	425203	1	977.68192	protein_coding	0	0	0	high
FBgn0033928	Arc2	chr2R	10249449	10250330	10249449	1	65.60264	protein_coding	0	0	0	high
FBgn0263864	Ark	chr2R	12907549	12910877	12907549	1	33.31176	protein_coding	0	0	0	high
FBgn0262716	Arp66B	chr3L	8106507	8109002	8109002	-1	95.791025	protein_coding	0	0	0	high
FBgn0038576	Arp5	chr3R	14011241	14013597	14011241	1	3.03825	protein_coding	0	0	0	weak
FBgn0030877	Arp8	chrX	17752412	17754833	17754833	-1	1.70754	protein_coding	0	0	0	weak
FBgn0031437	p16-ARC	chr2L	2580291	2581114	2580291	1	83.46657	protein_coding	0	0	0	high
FBgn0037770	Art4	chr3R	5808908	5811782	5811782	-1	47.00783	protein_coding	0	0	0	high
FBgn0038189	Art6	chr3R	9770376	9771534	9771534	-1	13.82634	protein_coding	1	0	1	mid
FBgn0034817	Art7	chr2R	18964211	18966599	18966599	-1	1.541945	protein_coding	1	0	0	weak
FBgn0050372	Asap1	chr2R	4002645	4010357	4010357	-1	32.345255	protein_coding	0	0	0	high
FBgn0034075	Asph	chr2R	11997990	12004501	11997990	1	2.3343	protein_coding	0	0	0	weak
FBgn0015591	Ast	chr3R	20586252	20590780	20590780	-1	2.893875	protein_coding	1	0	0	weak
FBgn0032336	Ast-C	chr2L	11076165	11081402	11081402	-1	8.929675	protein_coding	0	0	0	mid
FBgn0261823	Asx	chr2R	10392590	10398205	10392590	1	61.0259	protein_coding	0	0	0	high
FBgn0031876	Atac1	chr2L	6959099	6960285	6960285	-1	8.99558	protein_coding	0	1	0	mid
FBgn0052343	Atac3	chr3L	324985	327769	327769	-1	17.595685	protein_coding	0	0	0	mid
FBgn0050420	Atf-2	chr2R	20764214	20768744	20764214	1	236.58054	protein_coding	0	0	0	high
FBgn0264325	Atg6	chr3R	19874902	19876735	19876735	-1	24.08413	protein_coding	0	0	0	mid
FBgn0041581	AttB	chr2R	10636740	10637670	10636740	1	1.360165	protein_coding	0	0	0	weak
FBgn0013751	Awh	chr3L	3846206	3861692	3846206	1	22.238665	protein_coding	0	0	1	mid
FBgn0261647	Axud1	chr2L	2365594	2370137	2365594	1	93.00856	protein_coding	0	0	0	high
FBgn0011758	B-H1	chrX	17291534	17297312	17291534	1	4.83321	protein_coding	1	0	1	weak
FBgn0004854	B-H2	chrX	17208614	17218195	17208614	1	39.121555	protein_coding	0	0	1	high
FBgn0033578	BBS4	chr2R	7023433	7026766	7023433	1	7.202575	protein_coding	0	1	0	mid
FBgn0047334	BG642312	chr3L	6225569	6226481	6226481	-1	2.285705	protein_coding	1	1	0	weak
FBgn0035696	Best2	chr3L	6239033	6249765	6249765	-1	9.852945	protein_coding	1	1	0	mid
FBgn0260859	Bet3	chr3L	9431582	9435367	9435367	-1	29.348945	protein_coding	0	0	0	mid
FBgn0013753	Bgb	chr3L	1639711	1640952	1639711	1	18.961055	protein_coding	0	0	0	mid
FBgn0039282	Bili	chr3R	20957335	20962431	20957335	1	81.48405	protein_coding	0	0	0	high
FBgn0035625	Blimp-1	chr3L	5636747	5642036	5636747	1	3.25852	protein_coding	1	1	1	weak
FBgn0002906	mus309	chr3R	7562053	7567505	7567505	-1	5.947785	protein_coding	0	0	0	weak
FBgn0038499	Brf	chr3R	13201268	13217054	13217054	-1	4.58204	protein_coding	0	0	0	weak
FBgn0261822	Bsg	chr2L	8088304	8109458	8088304	1	248.90517	protein_coding	0	0	0	high
FBgn0263108	BtbVII	chr3L	3149133	3154935	3149133	1	70.341455	protein_coding	0	0	0	high
FBgn0029848	Btd	chrX	6111513	6113360	6113360	-1	4.611865	protein_coding	0	1	0	weak
FBgn0003502	Btk29A	chr2L	8260070	8301079	8301079	-1	73.54625	protein_coding	0	0	0	high
FBgn0263855	BubR1	chr2R	1856600	1862122	1862122	-1	20.182225	protein_coding	0	1	0	mid
FBgn0040491	Buffy	chr2R	7566978	7576264	7566978	1	2.84889	protein_coding	1	1	0	weak
FBgn0000242	Bx	chrX	18460339	18465759	18460339	1	95.339395	protein_coding	1	0	0	high
FBgn0011566	Bzd	chrX	2500712	2502700	2502700	-1	2.70519	protein_coding	0	0	0	weak
FBgn0004863	C15	chr3R	17325977	17338054	17325977	1	7.876015	protein_coding	1	0	1	mid
FBgn0027843	CAH2	chr3L	12172976	12176447	12172976	1	43.655895	protein_coding	1	1	0	high
FBgn0037646	CAHbeta	chr3R	4806584	4808515	4806584	1	14.274895	protein_coding	0	0	0	mid
FBgn0026144	CBP	chrX	7232139	7236764	7232139	1	3.71719	protein_coding	1	1	0	weak
FBgn0038199	CCHa1	chr3R	9918215	9922557	9922557	-1	1.200195	protein_coding	1	0	1	weak
FBgn0050106	CCHa1r	chr2R	13535037	13541801	13541801	-1	7.05401	protein_coding	0	0	0	mid
FBgn0038147	CCHa2	chr3R	9214781	9218803	9218803	-1	11.56169	protein_coding	1	0	1	mid
FBgn0033058	CCHa2r	chr2R	1938477	1955830	1938477	1	49.50179	protein_coding	1	0	0	high
FBgn0259231	CCKLR-17D1	chrX	18601527	18620605	18620605	-1	8.49866	protein_coding	1	0	0	mid
FBgn0030954	CCKLR-17D3	chrX	18658516	18668264	18668264	-1	20.72019	protein_coding	0	0	0	mid
FBgn0039774	CDase	chr3R	26286189	26291458	26286189	1	1.215435	protein_coding	1	0	0	weak
FBgn0037972	CG10005	chr3R	7800878	7802912	7802912	-1	1.37234	protein_coding	0	1	0	weak
FBgn0036461	CG10006	chr3L	14985389	14990917	14985389	1	2.913495	protein_coding	1	1	0	weak
FBgn0031568	CG10019	chr2L	3730466	3752951	3730466	1	57.781195	protein_coding	0	0	0	high
FBgn0031563	CG10031	chr2L	3698451	3699091	3699091	-1	2.85713	protein_coding	1	0	1	weak
FBgn0037493	CG10032	chr3R	3097314	3098231	3097314	1	16.868485	protein_coding	1	0	0	mid
FBgn0038013	CG10038	chr3R	8174709	8176367	8176367	-1	30.820205	protein_coding	0	0	0	high
FBgn0038014	CG10041	chr3R	8176537	8177801	8177801	-1	17.914785	protein_coding	0	0	0	mid
FBgn0037492	CG10050	chr3R	3075521	3077472	3075521	1	2.530335	protein_coding	0	0	0	weak
FBgn0037490	CG10053	chr3R	3072963	3073862	3072963	1	27.344425	protein_coding	0	0	0	mid
FBgn0037473	CG10068	chr3R	2951993	2953751	2953751	-1	3.00076	protein_coding	0	0	0	weak
FBgn0034441	CG10081	chr2R	15273428	15276823	15273428	1	1.542455	protein_coding	1	1	0	weak
FBgn0036369	CG10089	chr3L	13458909	13467643	13467643	-1	51.469365	protein_coding	0	0	0	high
FBgn0038032	CG10096	chr3R	8216405	8221702	8221702	-1	1.453305	protein_coding	1	1	0	weak
FBgn0033933	CG10104	chr2R	10278291	10279831	10278291	1	10.15575	protein_coding	0	0	0	mid
FBgn0033949	CG10131	chr2R	10517418	10518526	10517418	1	8.595815	protein_coding	0	0	0	mid
FBgn0032798	CG10132	chr2L	19518786	19525453	19518786	1	35.161205	protein_coding	0	0	0	high
FBgn0036366	CG10133	chr3L	13442287	13443383	13443383	-1	17.710335	protein_coding	0	0	0	mid
FBgn0032800	CG10137	chr2L	19526686	19532992	19526686	1	29.960465	protein_coding	0	0	0	mid
FBgn0035702	CG10147	chr3L	6479267	6481524	6481524	-1	19.4524	protein_coding	0	0	0	mid
FBgn0033960	CG10151	chr2R	10640842	10643793	10643793	-1	34.8962	protein_coding	0	0	0	high
FBgn0035697	CG10163	chr3L	6250523	6251860	6251860	-1	18.209055	protein_coding	1	1	0	mid
FBgn0039088	CG10164	chr3R	19380045	19382495	19382495	-1	1.47531	protein_coding	0	0	0	weak
FBgn0032801	CG10165	chr2L	19527281	19530301	19530301	-1	11.173855	protein_coding	0	0	0	mid
FBgn0039084	CG10175	chr3R	19348423	19356704	19356704	-1	24.579	protein_coding	1	0	0	mid
FBgn0032682	CG10176	chr2L	18485417	18488021	18485417	1	5.09386	protein_coding	1	1	0	weak
FBgn0039091	CG10182	chr3R	19412929	19415537	19415537	-1	8.51286	protein_coding	1	0	0	mid
FBgn0039093	CG10183	chr3R	19422283	19424756	19424756	-1	3.643765	protein_coding	1	0	0	weak
FBgn0039094	CG10184	chr3R	19428229	19431209	19431209	-1	7.57892	protein_coding	0	0	0	mid
FBgn0038397	CG10185	chr3R	11886409	11893234	11893234	-1	2.694445	protein_coding	1	0	0	weak
FBgn0032797	CG10186	chr2L	19508953	19517201	19517201	-1	202.267	protein_coding	0	0	0	high
FBgn0033970	CG10205	chr2R	10720338	10721456	10720338	1	5.296055	protein_coding	1	0	1	weak
FBgn0039118	CG10208	chr3R	19598720	19599862	19599862	-1	36.25986	protein_coding	0	0	0	high
FBgn0036356	CG10222	chr3L	13404480	13405553	13405553	-1	1.42754	protein_coding	1	0	0	weak
FBgn0027514	CG1024	chr3R	2203071	2205929	2205929	-1	10.55786	protein_coding	0	0	0	mid
FBgn0033983	CG10253	chr2R	10817588	10822366	10822366	-1	44.556395	protein_coding	0	0	0	high
FBgn0033985	CG10257	chr2R	10830116	10831974	10830116	1	86.378465	protein_coding	0	0	0	high
FBgn0032813	CG10262	chr2L	19582823	19583990	19583990	-1	13.75561	protein_coding	0	0	0	mid
FBgn0033990	CG10265	chr2R	10879837	10881340	10881340	-1	6.49838	protein_coding	0	0	0	mid
FBgn0032811	CG10268	chr2L	19579093	19580346	19580346	-1	5.607725	protein_coding	0	0	0	weak
FBgn0037395	CG10280	chr3R	1836295	1837654	1837654	-1	1.889015	protein_coding	1	1	0	weak
FBgn0032681	CG10283	chr2L	18472964	18484513	18484513	-1	14.882585	protein_coding	1	0	0	mid
FBgn0037432	CG10298	chr3R	2168724	2169521	2168724	1	1.20361	protein_coding	1	0	0	weak
FBgn0034655	CG10307	chr2R	17576417	17577758	17576417	1	2.61216	protein_coding	0	0	0	weak
FBgn0038454	CG10324	chr3R	12470794	12472726	12472726	-1	5.480495	protein_coding	0	0	0	weak
FBgn0032698	CG10336	chr2L	18689581	18690906	18689581	1	8.79106	protein_coding	0	0	0	mid
FBgn0032701	CG10341	chr2L	18698719	18700645	18698719	1	3.040165	protein_coding	0	0	0	weak
FBgn0030348	CG10352	chrX	11769339	11770989	11770989	-1	3.991455	protein_coding	0	1	0	weak
FBgn0035453	CG10357	chr3L	3615382	3616682	3615382	1	26.09623	protein_coding	1	0	0	mid
FBgn0030358	CG10362	chrX	11820443	11824883	11824883	-1	17.94412	protein_coding	1	0	0	mid
FBgn0034731	CG10384	chr2R	18353994	18359160	18353994	1	26.4366	protein_coding	1	0	0	mid
FBgn0033020	CG10396	chr2R	1241499	1242231	1241499	1	11.112945	protein_coding	0	1	0	mid
FBgn0038431	CG10405	chr3R	12280214	12281519	12280214	1	1.28696	protein_coding	0	1	0	weak
FBgn0037440	CG1041	chr3R	2196748	2199747	2199747	-1	12.70715	protein_coding	0	0	0	mid
FBgn0039296	CG10420	chr3R	21059358	21061240	21061240	-1	8.842315	protein_coding	0	0	0	mid
FBgn0036273	CG10426	chr3L	12270755	12274576	12270755	1	29.219645	protein_coding	0	0	0	mid
FBgn0032730	CG10431	chr2L	18974710	18978190	18974710	1	3.86422	protein_coding	0	0	0	weak
FBgn0034636	CG10440	chr2R	17447751	17463540	17463540	-1	44.245625	protein_coding	1	0	1	high
FBgn0032819	CG10463	chr2L	19758879	19760986	19758879	1	5.712175	protein_coding	0	0	0	weak
FBgn0035656	CG10479	chr3L	5960645	5969107	5969107	-1	2.454815	protein_coding	1	0	0	weak
FBgn0032827	CG10481	chr2L	19890201	19892550	19892550	-1	4.17928	protein_coding	0	0	0	weak
FBgn0035649	CG10483	chr3L	5911005	5914416	5914416	-1	23.842845	protein_coding	0	0	0	mid
FBgn0037060	CG10508	chr3L	21203315	21209151	21203315	1	102.65141	protein_coding	0	0	0	high
FBgn0034570	CG10543	chr2R	16883725	16895245	16883725	1	46.47836	protein_coding	0	0	0	high
FBgn0030034	CG10555	chrX	8292973	8297975	8292973	1	42.651295	protein_coding	0	0	0	high
FBgn0037050	CG10566	chr3L	21124546	21126410	21124546	1	9.964615	protein_coding	0	0	0	mid
FBgn0037039	CG10587	chr3L	20954637	20955655	20955655	-1	9.24761	protein_coding	1	1	0	mid
FBgn0037037	CG10588	chr3L	20950034	20953270	20950034	1	6.08073	protein_coding	1	1	0	weak
FBgn0032721	CG10602	chr2L	18855126	18859212	18859212	-1	30.675445	protein_coding	0	0	1	high
FBgn0036286	CG10616	chr3L	12464824	12467379	12464824	1	1.15936	protein_coding	0	0	0	weak
FBgn0035612	CG10625	chr3L	5531511	5544259	5544259	-1	2.00125	protein_coding	1	0	0	weak
FBgn0036294	CG10654	chr3L	12498474	12500940	12500940	-1	13.048855	protein_coding	0	0	0	mid
FBgn0036289	CG10657	chr3L	12484930	12490316	12490316	-1	3.91216	protein_coding	0	0	0	weak
FBgn0036288	CG10660	chr3L	12479766	12483776	12483776	-1	1.463925	protein_coding	0	1	1	weak
FBgn0036287	CG10663	chr3L	12468107	12478054	12478054	-1	5.501475	protein_coding	1	1	1	weak
FBgn0039329	CG10669	chr3R	21157085	21161006	21161006	-1	21.293755	protein_coding	1	0	0	mid
FBgn0032836	CG10680	chr2L	19964125	19965702	19964125	1	25.46356	protein_coding	1	1	0	mid
FBgn0036291	CG10681	chr3L	12494613	12495747	12494613	1	5.82076	protein_coding	0	0	0	weak
FBgn0032754	CG10700	chr2L	19077276	19079028	19079028	-1	4.09213	protein_coding	0	0	1	weak
FBgn0032752	CG10702	chr2L	19065272	19069850	19069850	-1	1.275805	protein_coding	0	0	0	weak
FBgn0036377	CG10710	chr3L	13509373	13512705	13512705	-1	19.12453	protein_coding	1	1	0	mid
FBgn0036360	CG10713	chr3L	13421939	13428329	13428329	-1	103.61017	protein_coding	1	0	0	high
FBgn0036365	CG10732	chr3L	13435694	13442345	13435694	1	28.07498	protein_coding	0	1	0	mid
FBgn0036368	CG10738	chr3L	13443870	13458639	13443870	1	20.683495	protein_coding	0	0	0	mid
FBgn0037405	CG1077	chr3R	1993240	1996032	1993240	1	20.82256	protein_coding	1	0	0	mid
FBgn0029656	CG10793	chrX	3208777	3210435	3210435	-1	1.98183	protein_coding	1	1	0	weak
FBgn0033821	CG10799	chr2R	9145391	9145997	9145391	1	58.34903	protein_coding	1	1	0	high
FBgn0029663	CG10804	chrX	3370722	3376355	3376355	-1	32.01108	protein_coding	1	0	0	high
FBgn0033830	CG10814	chr2R	9263476	9265219	9265219	-1	2.275335	protein_coding	1	0	0	weak
FBgn0038865	CG10824	chr3R	16984960	16986814	16986814	-1	28.439805	protein_coding	1	1	0	mid
FBgn0038845	CG10827	chr3R	16830882	16832709	16832709	-1	9.83099	protein_coding	1	0	0	mid
FBgn0038839	CG10830	chr3R	16720174	16723042	16723042	-1	336.32486	protein_coding	0	0	0	high
FBgn0038163	CG10841	chr3R	9457664	9460583	9457664	1	14.25653	protein_coding	0	1	0	mid
FBgn0035478	CG10853	chr3L	3947891	3948687	3947891	1	2.09912	protein_coding	0	0	0	weak
FBgn0035475	CG10866	chr3L	3936597	3937941	3937941	-1	23.33534	protein_coding	1	1	0	mid
FBgn0031347	CG10869	chr2L	1584866	1587155	1587155	-1	3.80854	protein_coding	1	0	0	weak
FBgn0031398	CG10880	chr2L	2214972	2216311	2216311	-1	25.062555	protein_coding	0	0	0	mid
FBgn0038796	CG10881	chr3R	16233987	16234959	16233987	1	3.37909	protein_coding	1	0	0	weak
FBgn0037238	CG1090	chr3R	185605	192577	185605	1	158.068125	protein_coding	0	1	1	high
FBgn0031178	CG10918	chrX	21299641	21300283	21300283	-1	6.71848	protein_coding	0	0	0	mid
FBgn0037228	CG1092	chr3R	92676	94166	92676	1	3.20532	protein_coding	1	1	0	weak
FBgn0029963	CG10920	chrX	7746535	7748246	7748246	-1	5.690635	protein_coding	1	0	0	weak
FBgn0034356	CG10924	chr2R	14414937	14423263	14414937	1	3.81547	protein_coding	1	0	0	weak
FBgn0034360	CG10927	chr2R	14500587	14501759	14500587	1	5.35108	protein_coding	0	0	0	weak
FBgn0032857	CG10947	chr2L	20385293	20399394	20399394	-1	37.186605	protein_coding	0	0	0	high
FBgn0032858	CG10949	chr2L	20415171	20416918	20416918	-1	5.826435	protein_coding	0	0	0	weak
FBgn0030004	CG10958	chrX	8026439	8029000	8026439	1	1.181755	protein_coding	0	0	0	weak
FBgn0030073	CG10962	chrX	8866940	8868288	8868288	-1	2.405395	protein_coding	1	0	0	weak
FBgn0036310	CG10969	chr3L	12771850	12774121	12774121	-1	3.621715	protein_coding	0	1	0	weak
FBgn0030078	CG10970	chrX	8963632	8965441	8965441	-1	31.48943	protein_coding	0	1	0	high
FBgn0030525	CG10996	chrX	13690422	13691671	13691671	-1	1.481135	protein_coding	0	1	0	weak
FBgn0263353	CG11000	chr3R	1628050	1638980	1628050	1	241.05548	protein_coding	0	0	0	high
FBgn0031208	CG11023	chr2L	7529	9484	7529	1	7.313415	protein_coding	0	1	1	mid
FBgn0037038	CG11037	chr3L	20953498	20954486	20954486	-1	44.007485	protein_coding	1	1	0	high
FBgn0031831	CG11043	chr2L	6559431	6560133	6559431	1	2.05172	protein_coding	0	0	0	weak
FBgn0040524	CG11052	chr3R	3833971	3835019	3835019	-1	2.880925	protein_coding	0	0	0	weak
FBgn0039244	CG11069	chr3R	20720466	20723335	20720466	1	14.232385	protein_coding	1	0	0	mid
FBgn0034693	CG11073	chr2R	17978994	17987231	17987231	-1	11.286165	protein_coding	1	1	0	mid
FBgn0027537	CG11092	chrX	13716836	13719943	13716836	1	11.475595	protein_coding	0	0	0	mid
FBgn0030280	CG11106	chrX	11096302	11096840	11096302	1	17.19068	protein_coding	1	0	0	mid
FBgn0034535	CG11110	chr2R	16529255	16530063	16529255	1	3.36519	protein_coding	0	0	0	weak
FBgn0033165	CG11113	chr2R	3289364	3289869	3289364	1	9.69152	protein_coding	1	0	0	mid
FBgn0030266	CG11122	chrX	11006428	11017631	11017631	-1	30.875175	protein_coding	0	0	0	high
FBgn0033169	CG11123	chr2R	3328198	3330390	3328198	1	7.8764	protein_coding	0	0	1	mid
FBgn0037304	CG1113	chr3R	1078875	1081125	1078875	1	3.820985	protein_coding	0	1	0	weak
FBgn0033177	CG11141	chr2R	3347936	3350900	3350900	-1	31.0783	protein_coding	0	0	0	high
FBgn0031734	CG11147	chr2L	5733675	5741244	5741244	-1	1.018385	protein_coding	1	0	0	weak
FBgn0034539	CG11159	chr2R	16543261	16544114	16544114	-1	3.76305	protein_coding	1	0	0	weak
FBgn0030257	CG11160	chrX	10938791	10943573	10938791	1	3.619345	protein_coding	1	0	0	weak
FBgn0030507	CG11164	chrX	13562047	13563327	13562047	1	13.519065	protein_coding	0	0	0	mid
FBgn0033238	CG11165	chr2R	3837344	3837970	3837344	1	2.4144	protein_coding	1	1	0	weak
FBgn0034705	CG11170	chr2R	18064924	18070337	18070337	-1	2.312655	protein_coding	0	0	0	weak
FBgn0031851	CG11188	chr2L	6717625	6719389	6717625	1	9.964975	protein_coding	0	0	0	mid
FBgn0033249	CG11191	chr2R	3888154	3889625	3889625	-1	16.71796	protein_coding	0	1	1	mid
FBgn0031855	CG11221	chr2L	6742508	6755686	6742508	1	22.860015	protein_coding	1	1	0	mid
FBgn0037186	CG11241	chr3L	22726252	22731520	22731520	-1	9.230895	protein_coding	1	1	0	mid
FBgn0036338	CG11253	chr3L	13017863	13019537	13019537	-1	6.389225	protein_coding	0	1	0	weak
FBgn0036332	CG11261	chr3L	13002499	13004785	13004785	-1	7.17099	protein_coding	0	1	0	mid
FBgn0037516	CG11286	chr3R	3596582	3597478	3597478	-1	2.94578	protein_coding	0	0	0	weak
FBgn0034713	CG11291	chr2R	18098946	18100209	18098946	1	1.70011	protein_coding	1	1	0	weak
